,artist,song,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,Matthias Pintscher,Nemeton for solo Percussion,9,0.39,0.0692,0,-23.312,1,0.0905,0.435,0.504,0.0822,0.0433,76.465,audio_features,7wmm8ycV3DwStuQK0LGkdH,spotify:track:7wmm8ycV3DwStuQK0LGkdH,https://api.spotify.com/v1/tracks/7wmm8ycV3DwStuQK0LGkdH,https://api.spotify.com/v1/audio-analysis/7wmm8ycV3DwStuQK0LGkdH,740413,4
1,Marc Van Mourik,Pure,34,0.283,0.00966,0,-28.107,1,0.0327,0.993,0.807,0.0884,0.108,103.468,audio_features,4cFb48uJoAaR0ZogBcUTM5,spotify:track:4cFb48uJoAaR0ZogBcUTM5,https://api.spotify.com/v1/tracks/4cFb48uJoAaR0ZogBcUTM5,https://api.spotify.com/v1/audio-analysis/4cFb48uJoAaR0ZogBcUTM5,259042,5
2,NGT48,青春時計,31,0.694,0.761,5,-4.087,0,0.0372,0.446,0,0.289,0.55,114.947,audio_features,62bPGqh8IYBpVOzxIxkrXA,spotify:track:62bPGqh8IYBpVOzxIxkrXA,https://api.spotify.com/v1/tracks/62bPGqh8IYBpVOzxIxkrXA,https://api.spotify.com/v1/audio-analysis/62bPGqh8IYBpVOzxIxkrXA,208467,4
3,Carly Cosgrove,Buttersock,34,0.487,0.75,0,-8.348,1,0.0516,0.0582,7.75e-06,0.283,0.823,127.769,audio_features,5d3g3AivF2agJ99fFRrqkR,spotify:track:5d3g3AivF2agJ99fFRrqkR,https://api.spotify.com/v1/tracks/5d3g3AivF2agJ99fFRrqkR,https://api.spotify.com/v1/audio-analysis/5d3g3AivF2agJ99fFRrqkR,138688,4
4,Super Power Club,Seven Nation Army,21,0.646,0.279,4,-3.575,1,0.0545,0.149,0.915,0.0993,0.715,120.063,audio_features,3MTLncsF4tzTICc05bM034,spotify:track:3MTLncsF4tzTICc05bM034,https://api.spotify.com/v1/tracks/3MTLncsF4tzTICc05bM034,https://api.spotify.com/v1/audio-analysis/3MTLncsF4tzTICc05bM034,147587,4
5,8d Effect,Girls Like You,22,0.668,0.411,0,-15.324,1,0.0601,0.662,0.00123,0.115,0.525,124.993,audio_features,7H7oVpIzc8BjiUxNss6fOw,spotify:track:7H7oVpIzc8BjiUxNss6fOw,https://api.spotify.com/v1/tracks/7H7oVpIzc8BjiUxNss6fOw,https://api.spotify.com/v1/audio-analysis/7H7oVpIzc8BjiUxNss6fOw,195507,4
6,Hyannis Sound,Somebody That I Used to Know,32,0.44,0.332,1,-10.67,0,0.04,0.612,0,0.275,0.198,121.044,audio_features,4dYU3zSaFTtJ7PZrsf9KO4,spotify:track:4dYU3zSaFTtJ7PZrsf9KO4,https://api.spotify.com/v1/tracks/4dYU3zSaFTtJ7PZrsf9KO4,https://api.spotify.com/v1/audio-analysis/4dYU3zSaFTtJ7PZrsf9KO4,234475,4
7,Natsugumi,夏って☆パリパリ!,30,0.644,0.97,6,-3.009,1,0.253,0.0997,0,0.0665,0.54,149.979,audio_features,2jzXYxunkhcTxqHoStQS1U,spotify:track:2jzXYxunkhcTxqHoStQS1U,https://api.spotify.com/v1/tracks/2jzXYxunkhcTxqHoStQS1U,https://api.spotify.com/v1/audio-analysis/2jzXYxunkhcTxqHoStQS1U,230373,4
8,Lowly,baglaens,41,0.564,0.415,10,-7.735,1,0.0399,0.683,0.317,0.127,0.232,170.057,audio_features,2sDurGdooRkMxYRGfRvPdn,spotify:track:2sDurGdooRkMxYRGfRvPdn,https://api.spotify.com/v1/tracks/2sDurGdooRkMxYRGfRvPdn,https://api.spotify.com/v1/audio-analysis/2sDurGdooRkMxYRGfRvPdn,267478,4
9,Craig John Davidson,Best You Ever Had,6,0.592,0.721,10,-9.279,1,0.0356,0.0417,0.0117,0.265,0.651,93.947,audio_features,2YSMKIosO1e10iKS2wxOyH,spotify:track:2YSMKIosO1e10iKS2wxOyH,https://api.spotify.com/v1/tracks/2YSMKIosO1e10iKS2wxOyH,https://api.spotify.com/v1/audio-analysis/2YSMKIosO1e10iKS2wxOyH,302000,4
