,title,singer
0,About Damn Time,Lizzo
1,This Love,Taylor Swift
2,Hold My Hand,Lady Gaga
3,As It Was,Harry Styles
4,First Class,Jack Harlow
5,WAIT FOR U (feat. Drake & Tems),Future
6,Rockstar,Nickelback
7,Kryptonite,3 Doors Down
8,AA,Walker Hayes
9,That That (prod. & feat. SUGA of BTS),PSY
10,Here Without You,3 Doors Down
11,Whiskey On You,Nate Smith
12,Cold Heart (PNAU Remix),Elton John & Dua Lipa
13,Have You Ever Seen the Rain,Creedence Clearwater Revival
14,'Til You Can't,Cody Johnson
15,Island In the Sun,Weezer
16,That's What Love Is,Alexandra Kay
17,Big Energy,Latto
18,Bam Bam (feat. Ed Sheeran),Camila Cabello
19,And So It Goes,Billy Joel
20,Honest (feat. Don Toliver),Justin Bieber
21,Wasted On You,Morgan Wallen
22,Fancy Like,Walker Hayes
23,What's Up?,4 Non Blondes
24,All the Small Things,blink-182
25,Honest (feat. Don Toliver),Justin Bieber
26,Livin' On a Prayer,Bon Jovi
27,Far Away,Nickelback
28,Photograph,Nickelback
29,Numb Little Bug,Em Beihold
30,Shivers,Ed Sheeran
31,Don't Think Jesus,Morgan Wallen
32,Tubthumping,Chumbawamba
33,If I Was a Cowboy,Miranda Lambert
34,In Jesus Name (God Of Possible),Katy Nichole
35,"Enemy (From the series ""Arcane League of Legends"")","Imagine Dragons, JID & League of Legends"
36,Zombie,The Cranberries
37,About Damn Time,Lizzo
38,Unstoppable,Sia
39,Heat Waves,Glass Animals
40,Every Breath You Take,The Police
41,PROVENZA,KAROL G
42,Wonderful Tonight,Eric Clapton
43,Yee-Haw,Jay Webb
44,Big Energy (Remix) [feat. DJ Khaled],Latto & Mariah Carey
45,Mr. Jones,Counting Crows
46,Like a Prayer (Live),Miley Cyrus
47,One Headlight,The Wallflowers
48,Never Say Never,Cole Swindell & Lainey Wilson
49,A Man Without Love,Engelbert Humperdinck
50,Grandpa (Tell Me 'Bout the Good Old Days),The Judds
51,Ghost,Justin Bieber
52,Thought You Should Know,Morgan Wallen
53,We Don't Talk About Bruno,"Carolina Gaitán - La Gaita, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz & Encanto - Cast"
54,Take My Name,Parmalee
55,Wildest Dreams,Taylor Swift
56,Thousand Miles,The Kid LAROI
57,Dreams,Fleetwood Mac
58,Mamas,Anne Wilson & Hillary Scott
59,Buy Dirt (feat. Luke Bryan),Jordan Davis
60,Hold My Hand,Lady Gaga
61,WAIT FOR U (feat. Drake & Tems) [Instrumental],Future
62,WAIT FOR U (feat. Drake & Tems),Future
63,Freaky Deaky,Tyga & Doja Cat
64,Sand In My Boots,Morgan Wallen
65,Damn Strait,Scotty McCreery
66,When You're Gone,Shawn Mendes
67,Summer of '69,Bryan Adams
68,Drunk (And I Don't Wanna Go Home),Elle King & Miranda Lambert
69,The Motto,Tiësto & Ava Max
70,WAIT FOR U (feat. Drake & Tems),Future
71,Fall In Love,Bailey Zimmerman
72,She Had Me At Heads Carolina,Cole Swindell
73,Fortunate Son,Creedence Clearwater Revival
74,Boyfriend,Dove Cameron
75,Tennessee Whiskey,Chris Stapleton
76,WAIT FOR U (feat. Drake & Tems),Future
77,Jack & Diane,John Mellencamp
78,When You Were Young,The Killers
79,Flowers,Lauren Spencer-Smith
80,WAIT FOR U (feat. Drake & Tems),Future
81,Flower Shops (feat. Morgan Wallen),ERNEST
82,The Boys of Summer,Don Henley
83,Edge of Seventeen,Stevie Nicks
84,Easy On Me,Adele
85,Tomorrow Me,Luke Combs
86,Actin' Up,Miranda Lambert
87,2step (feat. Lil Baby),Ed Sheeran
88,MAMIII,Becky G. & KAROL G
89,Love Can Build A Bridge (Single Edit),The Judds
90,Big Energy,Latto
91,Bad Moon Rising,Creedence Clearwater Revival
92,Soul,Lee Brice
93,Fly Away,Lenny Kravitz
94,Mr. Brightside,The Killers
95,GIVE HEAVEN SOME HELL,HARDY
96,Something In The Way,Nirvana
97,The Reason,Hoobastank
98,Rebel Yell,Billy Idol
99,You Should Probably Leave,Chris Stapleton
