,title,singer
0,Like a Rolling Stone,Bob Dylan
1,(I Can’t Get No) Satisfaction,The Rolling Stones
2,Imagine,John Lennon
3,What’s Going On,Marvin Gaye
4,Respect,Aretha Franklin
5,Good Vibrations,The Beach Boys
6,Johnny B. Goode,Chuck Berry
7,Hey Jude,The Beatles
8,Smells Like Teen Spirit,Nirvana
9,What’d I Say,Ray Charles
10,My Generation,The Who
11,A Change Is Gonna Come,Sam Cooke
12,Yesterday,The Beatles
13,Blowin’ in the Wind,Bob Dylan
14,London Calling,The Clash
15,I Want to Hold Your Hand,The Beatles
16,Purple Haze,The Jimi Hendrix Experience
17,Maybellene,Chuck Berry
18,Hound Dog,Elvis Presley
19,Let It Be,The Beatles
20,Born to Run,Bruce Springsteen
21,Be My Baby,The Ronettes
22,In My Life,The Beatles
23,People Get Ready,The Impressions
24,God Only Knows,The Beach Boys
25,(Sittin’ On) The Dock of the Bay,Otis Redding
26,Layla,Derek and the Dominos
27,A Day in the Life,The Beatles
28,Help!,The Beatles
29,I Walk the Line,Johnny Cash
30,Stairway to Heaven,Led Zeppelin
31,Sympathy for the Devil,The Rolling Stones
32,River Deep – Mountain High,Ike & Tina Turner
33,You’ve Lost That Lovin’ Feelin’,The Righteous Brothers
34,Light My Fire,The Doors
35,One,U2
36,"No Woman, No Cry",Bob Marley
37,Gimme Shelter,The Rolling Stones
38,That’ll Be the Day,Buddy Holly and the Crickets
39,Dancing in the Street,Martha Reeves and the Vandellas
40,The Weight,The Band
41,Waterloo Sunset,The Kinks
42,Tutti-Frutti,Little Richard
43,Georgia on My Mind,Ray Charles
44,Heartbreak Hotel,Elvis Presley
45,"""Heroes""",David Bowie
46,All Along the Watchtower,The Jimi Hendrix Experience
47,Bridge over Troubled Water,Simon & Garfunkel
48,Hotel California,The Eagles
49,The Tracks of My Tears,Smokey Robinson and the Miracles
50,The Message,Grandmaster Flash & the Furious Five
51,When Doves Cry,Prince
52,When a Man Loves a Woman,Percy Sledge
53,Louie Louie,The Kingsmen
54,Long Tall Sally,Little Richard
55,Anarchy in the U. K.,Sex Pistols
56,A Whiter Shade of Pale,Procol Harum
57,Billie Jean,Michael Jackson
58,The Times They Are a-Changin’,Bob Dylan
59,Let’s Stay Together,Al Green
60,Whole Lotta Shakin’ Goin’ On,Jerry Lee Lewis
61,Bo Diddley,Bo Diddley
62,For What It’s Worth,Buffalo Springfield
63,She Loves You,The Beatles
64,Sunshine of Your Love,Cream
65,Redemption Song,Bob Marley and the Wailers
66,Jailhouse Rock,Elvis Presley
67,Tangled Up in Blue,Bob Dylan
68,Crying,Roy Orbison
69,Walk On By,Dionne Warwick
70,Papa’s Got a Brand New Bag,James Brown
71,California Girls,The Beach Boys
72,Superstition,Stevie Wonder
73,Summertime Blues,Eddie Cochran
74,Whole Lotta Love,Led Zeppelin
75,Strawberry Fields Forever,The Beatles
76,Mystery Train,Elvis Presley
77,I Got You (I Feel Good),James Brown
78,Mr. Tambourine Man,The Byrds
79,You Really Got Me,The Kinks
80,I Heard It Through the Grapevine,Marvin Gaye
81,Blueberry Hill,Fats Domino
82,Norwegian Wood (This Bird Has Flown),The Beatles
83,Every Breath You Take,The Police
84,Crazy,Patsy Cline
85,Thunder Road,Bruce Springsteen
86,Ring of Fire,Johnny Cash
87,My Girl,The Temptations
88,California Dreamin’,The Mamas and the Papas
89,In the Still of the Night,The Five Satins
90,Suspicious Minds,Elvis Presley
91,Blitzkrieg Bop,Ramones
92,I Still Haven’t Found What I’m Looking For,U2
93,"Good Golly, Miss Molly",Little Richard
94,Blue Suede Shoes,Carl Perkins
95,Great Balls of Fire,Jerry Lee Lewis
96,Roll Over Beethoven,Chuck Berry
97,Love and Happiness,Al Green
98,Fortunate Son,Creedence Clearwater Revival
99,Crazy,Gnarls Barkley
100,You Can’t Always Get What You Want,The Rolling Stones
